Opportunity_ID,NGO_ID,Role_Title,Description,Skills_Required,Qualification (optional but useful),Experience_Required,Location,Mode (Online/Offline/Hybrid),Duration,Time_Commitment,Volunteers_Required,Application_Deadline,Status (Open/Closed),Area
1,1,Data & Digital Support Volunteer,"Support the organisation with maintaining spreadsheets, organising programme data, preparing simple reports, and improving day-to-day digital workflows. The role is focused on practical data and technology support for the organisation's programmes. The work contributes to the organisation's stated social-impact programmes.","Data entry, Excel/Google Sheets, basic data analysis, digital tools",Comfort with spreadsheets and digital tools; relevant technical skills preferred,No prior NGO experience required; basic digital skills preferred,Goregaon East,Hybrid,3 months (renewable),4-6 hrs/week,2,20-Sep-26,Open,Technology & Digital Support
2,2,Website & Technology Support Volunteer,"Help the organisation maintain its website or simple digital tools, troubleshoot routine technology issues, and support small improvements to its online presence. Work will be based on the organisation's actual technology needs. The work contributes to the organisation's stated social-impact programmes.","Website maintenance, basic programming, troubleshooting, digital tools",Basic web or IT skills preferred; relevant portfolio or project experience is useful,No prior NGO experience required; practical web/IT experience preferred,Dharavi,Hybrid,3 months (renewable),4-6 hrs/week,2,21-Sep-26,Open,Technology & Digital Support
3,3,Graphic Design & Visual Content Volunteer,"Create posters, social media graphics, event creatives, awareness materials, and other visual content for the organisation's programmes and campaigns. Volunteers can work with Canva or similar design tools. The work contributes to the organisation's stated social-impact programmes.","Graphic design, Canva, visual communication, basic photo editing",A strong design portfolio or practical design skills preferred,No formal experience required; portfolio or sample work preferred,Kalachowki,Hybrid,3 months (renewable),3-5 hrs/week,1,22-Sep-26,Open,Graphic Design & Content
4,4,Health Camp Support Volunteer,"Support health-awareness activities, camps, registration desks, beneficiary coordination, and basic non-clinical tasks. Clinical work is only undertaken by appropriately qualified personnel under the organisation's supervision. The work contributes to the organisation's stated social-impact programmes.","Patient support, health awareness, communication, basic documentation",Relevant medical or paramedical background preferred for health-related tasks,Relevant experience preferred; orientation provided for volunteer responsibilities,Fort,Offline,3 months (renewable),5-8 hrs/week,3,23-Sep-26,Open,Health & Wellbeing
5,5,Project & Operations Support Volunteer,"Help the organisation organise activities, maintain project trackers, conduct basic research, prepare documents, and coordinate follow-ups with volunteers or programme teams. The work contributes to the organisation's stated social-impact programmes.","Project coordination, planning, documentation, research",Organisational and planning skills preferred; no specific degree required,Prior project or event experience is useful but not essential,Borivali West,Hybrid,3 months (renewable),4-6 hrs/week,2,24-Sep-26,Open,Administration & Records
6,6,Teaching & Mentoring Volunteer,"Support learning sessions for children or community members through tutoring, reading activities, subject support, and mentoring. Volunteers work with the organisation's existing programme structure and materials. The work contributes to the organisation's stated social-impact programmes.","Teaching, communication, mentoring, activity planning",Strong subject knowledge and communication skills; teaching experience preferred,No formal teaching qualification required for general volunteer support,Sion East,Offline,3 months (renewable),4-6 hrs/week,4,26-Sep-26,Open,Education & Mentoring
7,7,Photography & Storytelling Volunteer,"Capture photographs and short visual stories from approved activities, events, and programmes. Help organise and edit images for documentation, awareness campaigns, and social media. The work contributes to the organisation's stated social-impact programmes.","Photography, photo editing, visual storytelling",A portfolio or practical photography skills preferred,Prior photography experience preferred but not essential,Nariman Point,Offline,3 months (renewable),On-call / as needed,1,27-Sep-26,Open,Photography & Storytelling
8,8,Environment & Sustainability Volunteer,"Support environmental awareness drives, clean-up activities, community outreach, surveys, and basic documentation related to sustainability programmes. The work contributes to the organisation's stated social-impact programmes.","Environmental awareness, fieldwork, community engagement, documentation",Interest in environmental issues and willingness to participate in field activities,No specific experience required; fieldwork experience is useful,Wadala,Offline,3 months (renewable),4-6 hrs/week,3,28-Sep-26,Open,Environment & Sustainability
9,9,Finance & Records Support Volunteer,"Assist with organising receipts and records, maintaining spreadsheets, basic data entry, and administrative finance tasks under the organisation's supervision. Volunteers are not responsible for independent financial decisions. The work contributes to the organisation's stated social-impact programmes.","Bookkeeping, spreadsheets, record keeping, basic financial administration",Comfort with numbers and spreadsheets; accounting knowledge preferred,Prior bookkeeping or administrative experience is useful but not essential,Tardeo,Hybrid,3 months (renewable),3-5 hrs/week,2,29-Sep-26,Open,Administration & Records
10,10,Community Outreach Volunteer,"Support community visits, awareness activities, beneficiary communication, surveys, and programme follow-ups. The role involves working respectfully with communities and reporting observations to the programme team. The work contributes to the organisation's stated social-impact programmes.","Community engagement, communication, empathy, fieldwork",Good communication and interpersonal skills; social-sector experience preferred,No prior NGO experience required; community work experience is useful,Sion Koliwada,Offline,3 months (renewable),4-6 hrs/week,4,01-Oct-26,Open,Community Outreach
